algorithm,solved,avg_time_min,avg_dist_km,avg_cpu_ms,best_time_min,worst_time_min
astar_distance,5,40.044,24.213,68.885,35.492,48.3
astar_time,5,37.153,25.248,27.439,31.29,47.14
bimo_ga,5,35.028,25.882,22048.164,28.907,45.726
burhan_ga,5,35.028,25.882,6188.158,28.907,45.726
christofides,5,48.775,34.727,8134.118,37.582,69.24
dijkstra_distance,5,40.044,24.213,146.053,35.492,48.3
dijkstra_time,5,35.028,25.882,134.873,28.907,45.726
gerald_ga,5,35.028,25.882,5689.172,28.907,45.726
particle_swarm,5,35.028,25.882,290087.067,28.907,45.726
sandy_ga,5,35.202,25.374,39548.821,29.016,46.03
