geometry,lat,lon,name,facility_type,category,priority,addr:street,addr:city,addr:postcode,phone,website,opening_hours,operator,capacity,building
POINT (112.7521186 -7.2634443),-7.2634443,112.7521186,Pertamina,fuel,transport,3,,,,,,,PT Pertamina,,
POINT (112.7700657 -7.2999506),-7.2999506,112.7700657,APOTIK RUMINI,pharmacy,healthcare,1,,,60119,,,,,,
POINT (112.7883399 -7.3131239),-7.3131239,112.7883399,Gereja Kristen Abdiel Gloria,place_of_worship,community,4,,,,,,,,,
POINT (112.7895415 -7.3154976),-7.3154976,112.7895415,Davina Playgroup & TK,kindergarten,education,2,,,,,,,,,
POINT (112.7912659 -7.3160351),-7.3160351,112.7912659,Apotik Jireh,pharmacy,healthcare,1,,,,,,,,,
POINT (112.7348462 -7.1978389),-7.1978389,112.7348462,Surabaya D2,ferry_terminal,transport,3,,,,,,,,,
POINT (112.735117 -7.1986095),-7.1986095,112.735117,Surabaya D3,ferry_terminal,transport,3,,,,,,,,,
POINT (112.7288533 -7.3110598),-7.3110598,112.7288533,Telkom University Surabaya,university,education,2,Jalan Ketintang,"Ketintang, Gayungan, Surabaya, East Java",60231,,https://surabaya.telkomuniversity.ac.id/,,,,
POINT (112.7386341 -7.3054308),-7.3054308,112.7386341,Yohanes Pemandi,place_of_worship,community,4,,,,,,,,,
POINT (112.7266295 -7.3156467),-7.3156467,112.7266295,IKIP Widya Dharma,university,education,2,Jl. Ketintang No.147,,,031-8288141,,,,,
POINT (112.7642977 -7.3000873),-7.3000873,112.7642977,Sekolah Tinggi Ilmu Ekonomi Perbanas,university,education,2,Jl. Nginden Semolo No. 34-36,,,031-5938151,www.perbanas.ac.id,,,,
POINT (112.7407067 -7.2672997),-7.2672997,112.7407067,Sekolah Tinggi Ilmu Ekonomi Prima Visi,college,education,2,J l . Basuki Rachmad 129-137,,,031-5316770,www.stieprimavisi.ac.id,,,,
POINT (112.7494752 -7.3208538),-7.3208538,112.7494752,Kimia Farma,pharmacy,healthcare,1,Raya Tenggilis,,,,,24/7,,,
POINT (112.7535063 -7.320133),-7.320133,112.7535063,Apotik SABA,pharmacy,healthcare,1,Raya Tenggilis,Surabaya,60292,,,,,,
POINT (112.7552764 -7.3200785),-7.3200785,112.7552764,Apotik Sentra Medika,pharmacy,healthcare,1,Raya Tenggilis,Surabaya,60292,,,,,,
POINT (112.7346504 -7.1971584),-7.1971584,112.7346504,Surabaya D1,ferry_terminal,transport,3,,,,,,,,,
POINT (112.6339175 -7.3033408),-7.3033408,112.6339175,Kantor Pos SB Lakarsantri 60227 A,post_office,government,3,Jl. Raya Lakarsantri,"Lakarsantri, Kota SBY, Jawa Timur, Indonesia",60211,,,,,,
POINT (112.7666976 -7.2995751),-7.2995751,112.7666976,Kantor Pos Untag,post_office,government,3,Jalan Nginden Semolo,"Ngiden Jangkungan, Sukolilo, Surabaya",60118,,,,,,
POINT (112.7901903 -7.3206545),-7.3206545,112.7901903,Apotek K24 Pandugo,pharmacy,healthcare,1,Jl. Pandugo,"Penjaringan Sari, Rungkut, Surabaya",60297,,,,,,
POINT (112.7758197 -7.287316),-7.287316,112.7758197,Apotek Klampis Farma,pharmacy,healthcare,1,Jl. Klampis Jaya Ruko Klampis Square A,"Klampis Ngasem, Sukolilo, Surabaya",60117,,,,,,
POINT (112.6972437 -7.2677062),-7.2677062,112.6972437,Apotek Viva Generik Donowati,pharmacy,healthcare,1,"JL. Raya Donowati 6,","Sukomanunggal, Surabaya",60188,,,,,,
POINT (112.7471866 -7.2480625),-7.2480625,112.7471866,Apotik Senang,pharmacy,healthcare,1,Jl. Pecindilan No.8,"Kapasari, Genteng, Surabaya",60273,,,,,,
POINT (112.7719449 -7.2795304),-7.2795304,112.7719449,Apple Tree Preschool,kindergarten,education,2,Jl. Raya Dharma Husada Indah,"Mojo, Gubeng, Surabaya",60285,,,,,,
POINT (112.7462036 -7.3221665),-7.3221665,112.7462036,Klinik Kencana Medika,clinic,healthcare,1,Jl. Raya Kendangsari,"Jemur Wonosari, Wonocolo, Kota SBY, Jawa Timur, Indonesia",60237,,,,,,
POINT (112.7717059 -7.2880725),-7.2880725,112.7717059,Kliknik Spesial Meridian,clinic,healthcare,1,Manyar Tirtomoyo 3,Surabaya,60116,,,,,,
POINT (112.6696096 -7.2655948),-7.2655948,112.6696096,Lab Komputer Mardi Sunu,school,education,2,Pasar Kembang,"Jawa Timur, Indonesia",60263,,,,,,
POINT (112.7539453 -7.2915096),-7.2915096,112.7539453,Scoliosis Correction Clinic,clinic,healthcare,1,Jl. Ngagel Jaya Tengah,"Pucang Sewu, Surabaya, East Java",60283,,,,,,
POINT (112.735286 -7.2934043),-7.2934043,112.735286,Medika Utama,clinic,healthcare,1,Jl. Ciliwung,"Darmo, Wonokromo, Kota SBY, Jawa Timur, Indonesia",60241,,,,,,
POINT (112.7369126 -7.2818895),-7.2818895,112.7369126,Miracle Aesthetic Clinic Thamrin,clinic,healthcare,1,Jl. M H. Tamrin,"Dr. Sutomo, Surabaya, Surabaya City, East Java, Indonesia",60264,,,,,,
POINT (112.7817642 -7.2801062),-7.2801062,112.7817642,Miracle Aesthetic Clinic Kertajaya Indah,clinic,healthcare,1,Jl. Raya Kertajaya Indah Blok O,"Surabaya City, East Java, Indonesia",60282,,,,,,
POINT (112.7487629 -7.2970532),-7.2970532,112.7487629,Gereja Pantekosta di Indonesia Barat Jemaat Bukit Zaitun,place_of_worship,community,4,Jl. Ngagel Mulyo I,"Ngagelrejo, Wonokromo, Surabaya",60245,,,,,,
POINT (112.7488414 -7.2533533),-7.2533533,112.7488414,Dr. Silvester Hariwidodo D.Spa,doctors,healthcare,1,Jl. Ketupa,"Tambaksari, Surabaya, East Java",60136,,,,,,
POINT (112.7024041 -7.2833731),-7.2833731,112.7024041,Family Dental Care,dentist,healthcare,1,"JL. Kupang Indah 16,","Dukuh Kupang, Dukuh Pakis, Surabaya",60225,,,,,,
POINT (112.7436009 -7.2623101),-7.2623101,112.7436009,Taman Prestasi,ferry_terminal,transport,3,,,,,https://tiketwisata.surabaya.go.id,,Pemerintah Kota Surabaya,,
POINT (112.7623083 -7.2753159),-7.2753159,112.7623083,ApotekBoy_Dr.Franky,pharmacy,healthcare,1,Jl.Raya Menur No.4,,,0315039881,,,,,
POINT (112.6566855 -7.2850815),-7.2850815,112.6566855,Tiara,pharmacy,healthcare,1,,,,+62-31-57431789,,Mo-Su 06:30-23:00,,,
POINT (112.6658215 -7.2941099),-7.2941099,112.6658215,Surabaya European School,school,education,2,,,,+62317391751,https://surabayaeuropeanschool.com/,,,,
POINT (112.7553516 -7.2429349),-7.2429349,112.7553516,Masjid,place_of_worship,community,4,,,,,,,,,
POINT (112.7474499 -7.2397123),-7.2397123,112.7474499,Vihara,place_of_worship,community,4,,,,,,,,,
POINT (112.6712229 -7.2843839),-7.2843839,112.6712229,Ahli gigi,dentist,healthcare,1,,,,,,,,,
POINT (112.7775446 -7.2842792),-7.2842792,112.7775446,GEREJA KRISTEN ABDIEL ELYON RAYON GALAXY,place_of_worship,community,4,,,,,,,,,
POINT (112.7652302 -7.2423208),-7.2423208,112.7652302,TK Trisula,kindergarten,education,2,,,,,,,,,
POINT (112.7395668 -7.2721326),-7.2721326,112.7395668,Pasar Kedondong,marketplace,community,4,,,,,,,,,
POINT (112.7356173 -7.2636666),-7.2636666,112.7356173,TK Aisyiyah Bustanul Athfal,kindergarten,education,2,,,,,,,,,
POINT (112.7864599 -7.2493027),-7.2493027,112.7864599,TK Putera Emas,kindergarten,education,2,,,,,,,,,
POINT (112.7777803 -7.2371508),-7.2371508,112.7777803,PAUD Bhakti Pertiwi II,kindergarten,education,2,,,,,,,,,
POINT (112.7567752 -7.2577306),-7.2577306,112.7567752,SD Kristen Buah Sulung,school,education,2,,,,,,,,,
POINT (112.7567726 -7.2577439),-7.2577439,112.7567726,TK Buah Sulung,kindergarten,education,2,,,,,,,,,
POINT (112.737833 -7.2562594),-7.2562594,112.737833,UPTSA Dispenduk dan Catatan Sipil,government,government,3,,,,,,,,100-250,
